operation,strategy,blockSize,fileSizeInBytes,durationInMs,
Write,BlockByBlockWithBufferedStream,10485760,500,1.0,
Write,BlockByBlockWithBufferedStream,10485760,50,1.0,
Write,BlockByBlockWithBufferedStream,10485760,5,1.0,
Write,ByteByByteWithBufferedStream,10485760,0,2.0,
Write,BlockByBlockWithoutBufferedStream,10485760,500,1.0,
Write,BlockByBlockWithoutBufferedStream,10485760,50,2.0,
Write,BlockByBlockWithoutBufferedStream,10485760,5,2.0,
Write,ByteByByteWithoutBufferedStream,10485760,0,1.0,
Read,BlockByBlockWithBufferedStream,10485760,500,1.0,
Read,BlockByBlockWithBufferedStream,10485760,50,0.0,
Read,BlockByBlockWithBufferedStream,10485760,5,1.0,
Read,ByteByByteWithBufferedStream,10485760,0,0.0,
Read,BlockByBlockWithoutBufferedStream,10485760,500,2.0,
Read,BlockByBlockWithoutBufferedStream,10485760,50,1.0,
Read,BlockByBlockWithoutBufferedStream,10485760,5,1.0,
Read,ByteByByteWithoutBufferedStream,10485760,0,1.0,
